"","E_It","N","R0","k","inter_day","effect","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","sufficient_ncluster","adjusted_sufficient_ncluster"
"12",0.005,1000,1.5,0.1,40,0.4,1.08140223097691,1.13684573188368,0.763089929859766,0.641017431246407,0.00444333333333333,1.13885850839169e-05,0.00412866666666667,1.2870401689452e-05,0.00292966666666667,7.13643203289986e-06,1000,"77","485.202666666667"
"13",0.005,1000,2,0.7,17,0.2,2.0841603892348,3.28866981807086,1.70209030528999,2.26798171193831,0.005034,2.09898406135378e-05,0.00976333333333333,8.61660442369679e-05,0.00793066666666667,5.67754513726798e-05,100,"751","1153.03533333333"
"14",0.005,1000,2,0.7,17,0.2,2.0841603892348,3.28866981807086,1.70209030528999,2.26798171193831,0.005034,2.09898406135378e-05,0.00976333333333333,8.61660442369679e-05,0.00793066666666667,5.67754513726798e-05,1000,"197","302.460666666667"
"15",0.005,1000,2,0.7,17,0.4,2.14534683033648,3.63180670787661,1.28732508498271,1.27646868018035,0.00513433333333333,2.23577404690452e-05,0.0100423333333333,8.79792009558742e-05,0.00636,4.14762254084695e-05,100,"158","239.896666666667"
"16",0.005,1000,2,0.7,17,0.4,2.14534683033648,3.63180670787661,1.28732508498271,1.27646868018035,0.00513433333333333,2.23577404690452e-05,0.0100423333333333,8.79792009558742e-05,0.00636,4.14762254084695e-05,1000,"36","54.66"
"17",0.005,1000,2,0.4,19,0.2,1.92646570360584,3.17833823547169,1.53325382082445,2.0252076284149,0.005023,2.20371500500167e-05,0.00883733333333333,6.92492893186618e-05,0.007265,5.08337195731911e-05,100,"814","1568.578"
"18",0.005,1000,2,0.4,19,0.2,1.92646570360584,3.17833823547169,1.53325382082445,2.0252076284149,0.005023,2.20371500500167e-05,0.00883733333333333,6.92492893186618e-05,0.007265,5.08337195731911e-05,1000,"185","356.495"
"19",0.005,1000,2,0.4,19,0.4,1.91540846625248,3.06837316505066,1.19818498556149,1.36548341885158,0.00498,2.19242414138046e-05,0.00876733333333333,6.88561516060909e-05,0.005591,3.25098889629877e-05,100,"186","357.306"
"20",0.005,1000,2,0.4,19,0.4,1.91540846625248,3.06837316505066,1.19818498556149,1.36548341885158,0.00498,2.19242414138046e-05,0.00876733333333333,6.88561516060909e-05,0.005591,3.25098889629877e-05,1000,"39","74.919"
"21",0.005,1000,2,0.1,22,0.2,1.50431274948392,2.52184610409712,1.23119286867773,1.6372162476232,0.00433466666666667,1.51423790152273e-05,0.005927,3.02971033677893e-05,0.00492966666666667,2.2210790152273e-05,100,">=1000",">=1000"
"22",0.005,1000,2,0.1,22,0.2,1.50431274948392,2.52184610409712,1.23119286867773,1.6372162476232,0.00433466666666667,1.51423790152273e-05,0.005927,3.02971033677893e-05,0.00492966666666667,2.2210790152273e-05,1000,"299","1095.237"
"23",0.005,1000,2,0.1,22,0.4,1.55353202377697,2.53217646281141,1.01001316675405,1.09317353062896,0.00424433333333333,1.50729922196288e-05,0.00586866666666667,2.92078208291653e-05,0.00397266666666667,1.58325303990219e-05,100,"345","1243.61"
"24",0.005,1000,2,0.1,22,0.4,1.55353202377697,2.53217646281141,1.01001316675405,1.09317353062896,0.00424433333333333,1.50729922196288e-05,0.00586866666666667,2.92078208291653e-05,0.00397266666666667,1.58325303990219e-05,1000,"60","216.28"
"25",0.005,10000,1.5,0.7,48,0.2,1.37787737632067,0.189638976664078,1.14173057308629,0.128828156576802,0.00518636666666667,7.84060433366678e-06,0.00677143333333333,1.12166061476048e-05,0.0056258,7.94644317439146e-06,100,">=1000",">=1000"
"26",0.005,10000,1.5,0.7,48,0.2,1.37787737632067,0.189638976664078,1.14173057308629,0.128828156576802,0.00518636666666667,7.84060433366678e-06,0.00677143333333333,1.12166061476048e-05,0.0056258,7.94644317439146e-06,1000,"158","158.632"
"27",0.005,10000,1.5,0.7,48,0.4,1.38329986030406,0.139340237898992,0.927001486703961,0.0669678294997653,0.00513116666666667,7.33531040902523e-06,0.00676693333333333,1.0862507431366e-05,0.0045851,5.43176524508169e-06,100,"299","299.797333333333"
"28",0.005,10000,1.5,0.7,48,0.4,1.38329986030406,0.139340237898992,0.927001486703961,0.0669678294997653,0.00513116666666667,7.33531040902523e-06,0.00676693333333333,1.0862507431366e-05,0.0045851,5.43176524508169e-06,1000,"39","39.104"
