"","E_It","N","R0","k","inter_day","effect","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","sufficient_ncluster","adjusted_sufficient_ncluster"
"14",0.005,1000,2,0.7,17,0.2,2.02385851128414,2.85743411196326,1.63056696204378,2.09524351192642,0.005082,2.11496592197399e-05,0.009683,8.39998442814271e-05,0.00776233333333333,5.64920118928532e-05,1000,"134","202.116666666667"
"15",0.005,1000,2,0.7,17,0.4,2.07757824827355,3.19952591307735,1.28455779401874,1.39099671351615,0.004919,1.9034117039013e-05,0.00947133333333333,7.94396581082583e-05,0.00588366666666667,3.36533510058909e-05,100,"158","238.843333333333"
"16",0.005,1000,2,0.7,17,0.4,2.07757824827355,3.19952591307735,1.28455779401874,1.39099671351615,0.004919,1.9034117039013e-05,0.00947133333333333,7.94396581082583e-05,0.00588366666666667,3.36533510058909e-05,1000,"33","49.885"
"17",0.005,1000,2,0.4,19,0.2,1.96028271039285,3.24448346050867,1.56303950462332,1.99868156888982,0.00485266666666667,2.02437074580416e-05,0.00865633333333333,6.58915237301323e-05,0.00702566666666667,4.48692976547738e-05,100,"783","1471.518"
"18",0.005,1000,2,0.4,19,0.2,1.96028271039285,3.24448346050867,1.56303950462332,1.99868156888982,0.00485266666666667,2.02437074580416e-05,0.00865633333333333,6.58915237301323e-05,0.00702566666666667,4.48692976547738e-05,1000,"150","281.9"
"19",0.005,1000,2,0.4,19,0.4,1.95105273672802,3.04028241748849,1.23196646622309,1.23686462177471,0.004859,2.14622730910303e-05,0.00867,6.79497499166389e-05,0.00560066666666667,3.11949311992887e-05,100,"199","377.370333333333"
"20",0.005,1000,2,0.4,19,0.4,1.95105273672802,3.04028241748849,1.23196646622309,1.23686462177471,0.004859,2.14622730910303e-05,0.00867,6.79497499166389e-05,0.00560066666666667,3.11949311992887e-05,1000,"40","75.8533333333333"
"21",0.005,1000,2,0.1,22,0.2,1.53165576759451,2.26358280911322,1.26264478485434,1.48897147880406,0.00431566666666667,1.51097244637101e-05,0.00606966666666667,3.13185860842503e-05,0.00504566666666667,2.27184873846838e-05,100,">=1000",">=1000"
"22",0.005,1000,2,0.1,22,0.2,1.53165576759451,2.26358280911322,1.26264478485434,1.48897147880406,0.00431566666666667,1.51097244637101e-05,0.00606966666666667,3.13185860842503e-05,0.00504566666666667,2.27184873846838e-05,1000,"236","806.962666666667"
"23",0.005,1000,2,0.1,22,0.4,1.56562342599355,2.22872042657898,1.00154856871372,1.03027995238314,0.004493,1.62413647882628e-05,0.00643433333333333,3.41390675780816e-05,0.00419933333333333,1.69772586417695e-05,100,"267","863.478"
"24",0.005,1000,2,0.1,22,0.4,1.56562342599355,2.22872042657898,1.00154856871372,1.03027995238314,0.004493,1.62413647882628e-05,0.00643433333333333,3.41390675780816e-05,0.00419933333333333,1.69772586417695e-05,1000,"43","139.062"
"25",0.005,10000,1.5,0.7,50,0.2,1.35427885682339,0.15463981642508,1.1267041462994,0.100643918768312,0.00502196666666667,7.71682640769145e-06,0.00648026666666667,1.09921413093253e-05,0.00541806666666667,7.7962590152273e-06,100,">=1000",">=1000"
"26",0.005,10000,1.5,0.7,50,0.2,1.35427885682339,0.15463981642508,1.1267041462994,0.100643918768312,0.00502196666666667,7.71682640769145e-06,0.00648026666666667,1.09921413093253e-05,0.00541806666666667,7.7962590152273e-06,1000,"182","183.092"
"27",0.005,10000,1.5,0.7,50,0.4,1.36965511577451,0.216889714976185,0.915394004148887,0.0876266207617324,0.0050735,7.82547624208069e-06,0.0065618,1.0919413897966e-05,0.0044497,5.45080351117039e-06,100,"303","304.616"
"28",0.005,10000,1.5,0.7,50,0.4,1.36965511577451,0.216889714976185,0.915394004148887,0.0876266207617324,0.0050735,7.82547624208069e-06,0.0065618,1.0919413897966e-05,0.0044497,5.45080351117039e-06,1000,"40","40.2133333333333"
"29",0.005,10000,1.5,0.4,69,0.2,1.20464101561782,0.215857131993164,1.0084014675636,0.147340120150423,0.0049297,7.32590321107036e-06,0.00541513333333333,6.83524272979882e-06,0.00458076666666667,5.13407810492386e-06,100,">=1000",">=1000"
"30",0.005,10000,1.5,0.4,69,0.2,1.20464101561782,0.215857131993164,1.0084014675636,0.147340120150423,0.0049297,7.32590321107036e-06,0.00541513333333333,6.83524272979882e-06,0.00458076666666667,5.13407810492386e-06,1000,"213","220.881"
"31",0.005,10000,1.5,0.4,69,0.4,1.17747444508139,0.164661077290352,0.822648297450002,0.0834584880030732,0.00502573333333333,7.32323220629099e-06,0.00545313333333333,6.64893982883183e-06,0.00387073333333333,3.65342793820162e-06,100,"470","486.45"
"32",0.005,10000,1.5,0.4,69,0.4,1.17747444508139,0.164661077290352,0.822648297450002,0.0834584880030732,0.00502573333333333,7.32323220629099e-06,0.00545313333333333,6.64893982883183e-06,0.00387073333333333,3.65342793820162e-06,1000,"55","56.925"
"33",0.005,10000,2,0.7,24,0.2,2.08072681381821,0.200359262421886,1.65553223083842,0.139820779914252,0.00512626666666667,5.74018345670779e-06,0.0103131,2.02023191630544e-05,0.00823876666666667,1.35976930432366e-05,100,"486","486"
"34",0.005,10000,2,0.7,24,0.2,2.08072681381821,0.200359262421886,1.65553223083842,0.139820779914252,0.00512626666666667,5.74018345670779e-06,0.0103131,2.02023191630544e-05,0.00823876666666667,1.35976930432366e-05,1000,"84","84"
"35",0.005,10000,2,0.7,24,0.4,2.07550684561164,0.193462231976106,1.27766399835112,0.0775351184504946,0.0052005,5.48672532510837e-06,0.0104557333333333,1.91307440435701e-05,0.00650386666666667,8.40308607758142e-06,100,"126","126"
"36",0.005,10000,2,0.7,24,0.4,2.07550684561164,0.193462231976106,1.27766399835112,0.0775351184504946,0.0052005,5.48672532510837e-06,0.0104557333333333,1.91307440435701e-05,0.00650386666666667,8.40308607758142e-06,1000,"21","21"
"37",0.005,10000,2,0.4,30,0.2,1.91739378373339,0.311906244280437,1.55446175184316,0.196504367817823,0.00521696666666667,8.54885174947205e-06,0.0093795,2.07627573357786e-05,0.0076633,1.45379290863621e-05,100,"658","659.754666666667"
"38",0.005,10000,2,0.4,30,0.2,1.91739378373339,0.311906244280437,1.55446175184316,0.196504367817823,0.00521696666666667,8.54885174947205e-06,0.0093795,2.07627573357786e-05,0.0076633,1.45379290863621e-05,1000,"113","113.301333333333"
"39",0.005,10000,2,0.4,30,0.4,1.92272632594546,0.295409149245281,1.2278645042454,0.186538781725557,0.00515963333333333,8.25087082249639e-06,0.00930616666666667,1.99371043403357e-05,0.00600873333333333,9.28861993553407e-06,100,"164","164.164"
"40",0.005,10000,2,0.4,30,0.4,1.92272632594546,0.295409149245281,1.2278645042454,0.186538781725557,0.00515963333333333,8.25087082249639e-06,0.00930616666666667,1.99371043403357e-05,0.00600873333333333,9.28861993553407e-06,1000,"27","27.027"
"41",0.0045,10000,2,0.1,57,0.2,1.24903998159852,0.507820039470598,1.04552106342205,0.326609289844808,0.00454716666666667,5.23649080248972e-06,0.00479056666666667,3.75812705457375e-06,0.0040912,2.95088618872958e-06,100,">=1000",">=1000"
"42",0.0045,10000,2,0.1,57,0.2,1.24903998159852,0.507820039470598,1.04552106342205,0.326609289844808,0.00454716666666667,5.23649080248972e-06,0.00479056666666667,3.75812705457375e-06,0.0040912,2.95088618872958e-06,1000,"244","285.561333333333"
"43",0.0045,10000,2,0.1,57,0.4,1.26573044777295,0.525978019555579,0.857280019373839,0.158230803780635,0.00452643333333333,5.2289009125264e-06,0.00480993333333333,3.82684361009225e-06,0.00342806666666667,2.28572083583417e-06,100,"533","626.808"
"44",0.0045,10000,2,0.1,57,0.4,1.26573044777295,0.525978019555579,0.857280019373839,0.158230803780635,0.00452643333333333,5.2289009125264e-06,0.00480993333333333,3.82684361009225e-06,0.00342806666666667,2.28572083583417e-06,1000,"59","69.384"
"45",0.02,100,1.5,0.7,10,0.2,1.07573399470899,1.78200677033436,0.879434920634921,1.38047799280452,0.017,0.000133244414804935,0.0180233333333333,0.000470749705457375,0.01468,0.000334475758586195,10,">=1000",">=1000"
"46",0.02,100,1.5,0.7,10,0.2,1.07573399470899,1.78200677033436,0.879434920634921,1.38047799280452,0.017,0.000133244414804935,0.0180233333333333,0.000470749705457375,0.01468,0.000334475758586195,50,"884","3097.536"
"47",0.02,100,1.5,0.7,10,0.2,1.07573399470899,1.78200677033436,0.879434920634921,1.38047799280452,0.017,0.000133244414804935,0.0180233333333333,0.000470749705457375,0.01468,0.000334475758586195,100,"388","1359.552"
"48",0.02,100,1.5,0.7,10,0.4,1.09488611111111,1.84684579607775,0.722659523809524,0.916594437626223,0.0167766666666667,0.000127619328665111,0.0180066666666667,0.000455711859508725,0.0121566666666667,0.000239528631766144,10,">=1000",">=1000"
"49",0.02,100,1.5,0.7,10,0.4,1.09488611111111,1.84684579607775,0.722659523809524,0.916594437626223,0.0167766666666667,0.000127619328665111,0.0180066666666667,0.000455711859508725,0.0121566666666667,0.000239528631766144,50,"267","923.82"
