"","E_It","N","R0","k","effect","inter_day","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","approx","sufficient_ncluster","adjusted_sufficient_ncluster"
"26",0.005,10000,1.5,0.7,0.2,49,1.35629025848588,0.174501594670526,1.13126074108077,0.146193508286569,0.0049092,7.27129245748583e-06,0.00634526666666667,1.02851526464377e-05,0.00529673333333333,7.45783527398022e-06,1000,100.940698172293,"142","142.426"
"27",0.005,10000,1.5,0.7,0.4,50,1.36207347357294,0.144642935126209,0.915729356267019,0.08031576551045,0.0050477,7.75699370790263e-06,0.00652443333333333,1.08292627664777e-05,0.00441616666666667,5.43766119261976e-06,100,182.434913707335,"189","190.26"
"28",0.005,10000,1.5,0.7,0.4,50,1.36207347357294,0.144642935126209,0.915729356267019,0.08031576551045,0.0050477,7.75699370790263e-06,0.00652443333333333,1.08292627664777e-05,0.00441616666666667,5.43766119261976e-06,1000,23.4586358424104,"33","33.22"
"29",0.005,10000,1.5,0.4,0.2,73,1.16226584597567,0.169865405218588,0.982154751663001,0.117417819522315,0.00521473333333333,7.11356745137268e-06,0.00556653333333333,6.15537844170279e-06,0.00473716666666667,4.58323638435034e-06,100,1026.77091007968,">=1000",">=1000"
"30",0.005,10000,1.5,0.4,0.2,73,1.16226584597567,0.169865405218588,0.982154751663001,0.117417819522315,0.00521473333333333,7.11356745137268e-06,0.00556653333333333,6.15537844170279e-06,0.00473716666666667,4.58323638435034e-06,1000,136.687424847165,"178","183.992666666667"
"31",0.005,10000,1.5,0.4,0.4,68,1.20564566082348,0.243754867031496,0.832658413619844,0.102050841403991,0.00487963333333333,7.05970176614427e-06,0.00538806666666667,6.70535938201623e-06,0.0038056,3.71677423141047e-06,100,243.912220499497,"271","281.659333333333"
"32",0.005,10000,1.5,0.4,0.4,68,1.20564566082348,0.243754867031496,0.832658413619844,0.102050841403991,0.00487963333333333,7.05970176614427e-06,0.00538806666666667,6.70535938201623e-06,0.0038056,3.71677423141047e-06,1000,32.9990362959167,"44","45.7306666666667"
"33",0.005,10000,2,0.7,0.2,24,2.0852763278778,0.218845154013612,1.66095963646056,0.131863825737611,0.00513276666666667,5.62271058241636e-06,0.010373,1.99261263754585e-05,0.00829713333333333,1.31065539668778e-05,100,327.744889840928,"345","345.345"
"34",0.005,10000,2,0.7,0.2,24,2.0852763278778,0.218845154013612,1.66095963646056,0.131863825737611,0.00513276666666667,5.62271058241636e-06,0.010373,1.99261263754585e-05,0.00829713333333333,1.31065539668778e-05,1000,44.2945546294754,"66","66.066"
"35",0.005,10000,2,0.7,0.4,24,2.07659025320931,0.210639177193828,1.28285243334747,0.0835582873033203,0.00519283333333333,6.07416336000889e-06,0.0104066333333333,2.02889022996554e-05,0.0064953,8.85039804268089e-06,100,83.658337513872,"88","88.0293333333333"
"36",0.005,10000,2,0.7,0.4,24,2.07659025320931,0.210639177193828,1.28285243334747,0.0835582873033203,0.00519283333333333,6.07416336000889e-06,0.0104066333333333,2.02889022996554e-05,0.0064953,8.85039804268089e-06,1000,11.8760869246897,"17","17.0056666666667"
"37",0.005,10000,2,0.4,0.2,30,1.93157231738129,0.318865548962586,1.55092102165129,0.185848430311846,0.00509523333333333,8.26128770812493e-06,0.00918356666666667,2.0036385407358e-05,0.0074641,1.42455630443481e-05,100,387.701262123952,"439","440.170666666667"
"38",0.005,10000,2,0.4,0.2,30,1.93157231738129,0.318865548962586,1.55092102165129,0.185848430311846,0.00509523333333333,8.26128770812493e-06,0.00918356666666667,2.0036385407358e-05,0.0074641,1.42455630443481e-05,1000,57.6719463062052,"86","86.2293333333333"
