"","E_It","N","R0","k","effect","inter_day","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","lower_bound","sufficient_ncluster","adjusted_sufficient_ncluster"
"1",0.005,1000,1.5,0.7,0.2,27,2.30934965809446,8.80621516178959,1.16258624823691,2.63359829917124,4.945,19.12635045015,8.59466666666667,60.8839995554074,4.78333333333333,26.4998888518395,100,58.054161493434,"126","262.038"
"2",0.005,1000,1.5,0.7,0.2,27,2.30934965809446,8.80621516178959,1.16258624823691,2.63359829917124,4.945,19.12635045015,8.59466666666667,60.8839995554074,4.78333333333333,26.4998888518395,1000,20.865605049216,"37","76.9476666666667"
"3",0.005,1000,1.5,0.7,0.4,26,2.33065094322502,9.03329727041783,0.604807823254176,0.942919043420194,4.77933333333333,18.6855347338002,8.48733333333333,60.7867684783817,2.44566666666667,8.97337234633767,100,23.1658040724417,"43","87.9206666666667"
"4",0.005,1000,1.5,0.7,0.4,26,2.33065094322502,9.03329727041783,0.604807823254176,0.942919043420194,4.77933333333333,18.6855347338002,8.48733333333333,60.7867684783817,2.44566666666667,8.97337234633767,1000,8.85363884062503,"12","24.536"
"5",0.005,1000,1.5,0.4,0.2,28,1.88526653199693,7.01465046673428,1.02102950377837,2.31817289313007,4.70866666666667,17.7517087918195,6.57633333333333,38.7504233633433,3.78533333333333,16.9448998555074,100,97.1728172168253,"193","509.005333333333"
"6",0.005,1000,1.5,0.4,0.2,28,1.88526653199693,7.01465046673428,1.02102950377837,2.31817289313007,4.70866666666667,17.7517087918195,6.57633333333333,38.7504233633433,3.78533333333333,16.9448998555074,1000,39.534012964911,"53","139.778666666667"
"7",0.005,1000,1.5,0.4,0.4,28,1.76258276957418,6.00508473854504,0.510754463904867,0.892063786485711,4.722,17.8179886628876,6.253,36.9839856618873,1.97466666666667,6.75894453706791,100,36.1698355589792,"68","183.532"
"8",0.005,1000,1.5,0.4,0.4,28,1.76258276957418,6.00508473854504,0.510754463904867,0.892063786485711,4.722,17.8179886628876,6.253,36.9839856618873,1.97466666666667,6.75894453706791,1000,14.7555941324168,"15","40.485"
"9",0.005,1000,1.5,0.1,0.2,36,1.05960829676044,2.72888898436672,0.631102940449008,1.13432219739427,4.32366666666667,11.8902032899856,3.23933333333333,11.5285624096921,1.99833333333333,5.92630599088585,100,332.90364646814,"595","3336.165"
"10",0.005,1000,1.5,0.1,0.2,36,1.05960829676044,2.72888898436672,0.631102940449008,1.13432219739427,4.32366666666667,11.8902032899856,3.23933333333333,11.5285624096921,1.99833333333333,5.92630599088585,1000,184.557513276295,"92","515.844"
