"","E_It","N","R0","k","effect","inter_day","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","lower_bound","sufficient_ncluster","adjusted_sufficient_ncluster"
"1",0.005,1000,1.5,0.7,0.2,27,1.4984102840402,1.71007155824146,1.17785558885903,1.10495525822445,4.945,19.12635045015,6.65133333333333,38.9127358008225,5.40166666666667,27.6942286317661,100,531.881828571148,"969","2015.197"
"2",0.005,1000,1.5,0.7,0.2,27,1.4984102840402,1.71007155824146,1.17785558885903,1.10495525822445,4.945,19.12635045015,6.65133333333333,38.9127358008225,5.40166666666667,27.6942286317661,1000,163.419468793383,"142","295.312666666667"
"3",0.005,1000,1.5,0.7,0.4,26,1.47089379385713,1.61251791418777,0.956286114671802,0.835283184018306,4.77933333333333,18.6855347338002,6.42433333333333,38.1116451039235,4.24266666666667,18.3132172946538,100,192.48245435311,"295","603.176666666667"
"4",0.005,1000,1.5,0.7,0.4,26,1.47089379385713,1.61251791418777,0.956286114671802,0.835283184018306,4.77933333333333,18.6855347338002,6.42433333333333,38.1116451039235,4.24266666666667,18.3132172946538,1000,58.2273946822461,"43","87.9206666666667"
"5",0.005,1000,1.5,0.4,0.2,28,1.32437162195983,1.59054138335322,1.13011135142487,1.13724778622754,4.70866666666667,17.7517087918195,5.694,30.1670863621207,4.89633333333333,23.2886827831499,100,1517.5604486853,">=1000",">=1000"
"6",0.005,1000,1.5,0.4,0.2,28,1.32437162195983,1.59054138335322,1.13011135142487,1.13724778622754,4.70866666666667,17.7517087918195,5.694,30.1670863621207,4.89633333333333,23.2886827831499,1000,551.460697824079,"322","849.221333333333"
"7",0.005,1000,1.5,0.4,0.4,28,1.3264476750657,1.47713974197475,0.907093152679756,0.791466215859035,4.722,17.8179886628876,5.73066666666667,30.3989258641769,3.958,15.4367149049683,100,292.245812176486,"420","1133.58"
"8",0.005,1000,1.5,0.4,0.4,28,1.3264476750657,1.47713974197475,0.907093152679756,0.791466215859035,4.722,17.8179886628876,5.73066666666667,30.3989258641769,3.958,15.4367149049683,1000,104.026394006986,"63","170.037"
"9",0.005,1000,1.5,0.1,0.2,36,1.15834328745182,1.26110107240558,0.97201878052363,0.932263975129883,4.32366666666667,11.8902032899856,4.32366666666667,14.6044413693453,3.61566666666667,10.0646427698122,100,2403.73343373507,">=1000",">=1000"
"10",0.005,1000,1.5,0.1,0.2,36,1.15834328745182,1.26110107240558,0.97201878052363,0.932263975129883,4.32366666666667,11.8902032899856,4.32366666666667,14.6044413693453,3.61566666666667,10.0646427698122,1000,1417.58716962172,"283","1586.781"
"11",0.005,1000,1.5,0.1,0.4,32,1.21205317652546,1.4145322970283,0.846812110557241,0.777540925722299,4.12233333333333,11.4291776147605,4.35233333333333,15.0698845170612,3.06866666666667,8.50011826164277,100,631.540635338671,"611","3203.473"
"12",0.005,1000,1.5,0.1,0.4,32,1.21205317652546,1.4145322970283,0.846812110557241,0.777540925722299,4.12233333333333,11.4291776147605,4.35233333333333,15.0698845170612,3.06866666666667,8.50011826164277,1000,371.302214027959,"68","356.524"
"13",0.005,1000,2,0.7,0.2,16,2.0846840419636,3.49778736703727,1.64930322342695,2.35439315497774,4.62866666666667,17.2598648438368,8.96933333333333,75.542240302323,7.09533333333333,49.3526957874847,100,454.548989117542,"626","933.574666666667"
"14",0.005,1000,2,0.7,0.2,16,2.0846840419636,3.49778736703727,1.64930322342695,2.35439315497774,4.62866666666667,17.2598648438368,8.96933333333333,75.542240302323,7.09533333333333,49.3526957874847,1000,157.671503030293,"158","235.630666666667"
"15",0.005,1000,2,0.7,0.4,18,2.0959470411389,3.21340142129563,1.28538903061505,1.31692953118461,5.38466666666667,24.8156367678115,10.196,88.2843454484828,6.45766666666667,39.5874036901189,100,101.674520923799,"158","239.264666666667"
"16",0.005,1000,2,0.7,0.4,18,2.0959470411389,3.21340142129563,1.28538903061505,1.31692953118461,5.38466666666667,24.8156367678115,10.196,88.2843454484828,6.45766666666667,39.5874036901189,1000,35.062906680466,"36","54.516"
"17",0.005,1000,2,0.4,0.2,18,1.91132193257984,2.96765630676059,1.50470729795983,2.00590806608907,4.55466666666667,18.3197848171613,8.21733333333333,64.3862282983217,6.52,43.7841947315772,100,542.107804184591,"658","1228.26666666667"
"18",0.005,1000,2,0.4,0.2,18,1.91132193257984,2.96765630676059,1.50470729795983,2.00590806608907,4.55466666666667,18.3197848171613,8.21733333333333,64.3862282983217,6.52,43.7841947315772,1000,225.904368641673,"146","272.533333333333"
"19",0.005,1000,2,0.4,0.4,19,1.92118159060478,2.91952005451978,1.19808890744036,1.15057249835518,4.879,20.2277682560854,8.534,64.6077132377459,5.476,29.7573431143715,100,144.7203023307,"197","369.243666666667"
"20",0.005,1000,2,0.4,0.4,19,1.92118159060478,2.91952005451978,1.19808890744036,1.15057249835518,4.879,20.2277682560854,8.534,64.6077132377459,5.476,29.7573431143715,1000,59.4878215085368,"42","78.722"
"21",0.005,1000,2,0.1,0.2,22,1.55284042183765,2.2043799412824,1.29199562877869,1.62651610328239,4.536,14.9450190063354,6.48033333333333,32.6605000555741,5.43966666666667,24.263781149272,100,1818.74230021243,">=1000",">=1000"
"22",0.005,1000,2,0.1,0.2,22,1.55284042183765,2.2043799412824,1.29199562877869,1.62651610328239,4.536,14.9450190063354,6.48033333333333,32.6605000555741,5.43966666666667,24.263781149272,1000,1181.83636915905,"263","893.498666666667"
