"","N","E_It","R0","k","effect","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","lower_bound","sufficient_ncluster","adjusted_sufficient_ncluster"
"1",1000,0.005,1.5,0.7,0.2,1.44524910094177,1.63121186412287,1.18846240223514,1.15171489124337,5.20233333333333,21.2051295987551,6.869,41.701072690897,5.59933333333333,27.9481155940869,100,772.367973465099,"501","1036.235"
"2",1000,0.005,1.5,0.7,0.2,1.44524910094177,1.63121186412287,1.18846240223514,1.15171489124337,5.20233333333333,21.2051295987551,6.869,41.701072690897,5.59933333333333,27.9481155940869,1000,235.349005951553,"55","113.758333333333"
"3",1000,0.005,1.5,0.7,0.4,1.43996227814747,1.79153024267087,0.921162559893126,0.728289424301621,5.084,21.332721573858,6.59966666666667,39.3705233966878,4.38766666666667,19.9313583416694,100,172.671610384608,"134","273.896"
"4",1000,0.005,1.5,0.7,0.4,1.43996227814747,1.79153024267087,0.921162559893126,0.728289424301621,5.084,21.332721573858,6.59966666666667,39.3705233966878,4.38766666666667,19.9313583416694,1000,51.8978548269461,"15","30.66"
"5",1000,0.005,1.5,0.4,0.2,1.36351635742072,1.71252572679174,1.09349844114733,1.02530662065415,4.592,16.6697592530844,5.68,29.580126708903,4.629,20.2541103701234,100,807.973590642726,"580","1543.76666666667"
"6",1000,0.005,1.5,0.4,0.2,1.36351635742072,1.71252572679174,1.09349844114733,1.02530662065415,4.592,16.6697592530844,5.68,29.580126708903,4.629,20.2541103701234,1000,294.657852302465,"61","162.361666666667"
"7",1000,0.005,1.5,0.4,0.4,1.41313009320125,1.76008994755504,0.938481929864281,0.774933426651211,4.56766666666667,16.3548728465044,5.805,29.3134128042681,3.969,15.1584251417139,100,251.420272463475,"173","455.105333333333"
"8",1000,0.005,1.5,0.4,0.4,1.41313009320125,1.76008994755504,0.938481929864281,0.774933426651211,4.56766666666667,16.3548728465044,5.805,29.3134128042681,3.969,15.1584251417139,1000,91.5557849578112,"19","49.9826666666667"
"9",1000,0.005,1.5,0.1,0.2,1.22064801374093,1.51161536488177,1.00876267996136,1.13428992531014,3.69933333333333,9.30870245637435,4.082,14.8375551850617,3.40666666666667,11.5764810492386,100,2327.69187504915,"962","4743.622"
"10",1000,0.005,1.5,0.1,0.2,1.22064801374093,1.51161536488177,1.00876267996136,1.13428992531014,3.69933333333333,9.30870245637435,4.082,14.8375551850617,3.40666666666667,11.5764810492386,1000,1395.01846379443,"103","507.893"
"11",1000,0.005,1.5,0.1,0.4,1.20572440968736,1.46661127332708,0.827519690929736,0.766091154464224,3.71566666666667,9.62336234300322,4.13033333333333,15.4138178281649,2.84833333333333,8.09402856507725,100,642.456457561774,"244","1226.01866666667"
