"","E_It","N","R0","k","effect","inter_day","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","approx","sufficient_ncluster","adjusted_sufficient_ncluster"
"1",0.005,1000,1.5,0.7,0.2,28,1.44524910094177,1.63121186412287,1.18846240223514,1.15171489124337,0.00520233333333333,2.12051295987551e-05,0.006869,4.1701072690897e-05,0.00559933333333333,2.79481155940869e-05,100,772.367973465099,">=1000",">=1000"
"2",0.005,1000,1.5,0.7,0.2,28,1.44524910094177,1.63121186412287,1.18846240223514,1.15171489124337,0.00520233333333333,2.12051295987551e-05,0.006869,4.1701072690897e-05,0.00559933333333333,2.79481155940869e-05,1000,235.349005951553,"188","388.846666666667"
"3",0.005,1000,1.5,0.7,0.4,28,1.43996227814747,1.79153024267087,0.921162559893126,0.728289424301621,0.005084,2.1332721573858e-05,0.00659966666666667,3.93705233966878e-05,0.00438766666666667,1.99313583416694e-05,100,172.671610384608,"295","602.98"
"4",0.005,1000,1.5,0.7,0.4,28,1.43996227814747,1.79153024267087,0.921162559893126,0.728289424301621,0.005084,2.1332721573858e-05,0.00659966666666667,3.93705233966878e-05,0.00438766666666667,1.99313583416694e-05,1000,51.8978548269461,"43","87.892"
"5",0.005,1000,1.5,0.4,0.2,28,1.36351635742072,1.71252572679174,1.09349844114733,1.02530662065415,0.004592,1.66697592530844e-05,0.00568,2.9580126708903e-05,0.004629,2.02541103701234e-05,100,807.973590642726,">=1000",">=1000"
"6",0.005,1000,1.5,0.4,0.2,28,1.36351635742072,1.71252572679174,1.09349844114733,1.02530662065415,0.004592,1.66697592530844e-05,0.00568,2.9580126708903e-05,0.004629,2.02541103701234e-05,1000,294.657852302465,"189","503.055"
"7",0.005,1000,1.5,0.4,0.4,28,1.41313009320125,1.76008994755504,0.938481929864281,0.774933426651211,0.00456766666666667,1.63548728465044e-05,0.005805,2.93134128042681e-05,0.003969,1.51584251417139e-05,100,251.420272463475,"384","1010.176"
"8",0.005,1000,1.5,0.4,0.4,28,1.41313009320125,1.76008994755504,0.938481929864281,0.774933426651211,0.00456766666666667,1.63548728465044e-05,0.005805,2.93134128042681e-05,0.003969,1.51584251417139e-05,1000,91.5557849578112,"54","142.056"
"9",0.005,1000,1.5,0.1,0.2,28,1.22064801374093,1.51161536488177,1.00876267996136,1.13428992531014,0.00369933333333333,9.30870245637435e-06,0.004082,1.48375551850617e-05,0.00340666666666667,1.15764810492386e-05,100,2327.69187504915,">=1000",">=1000"
"10",0.005,1000,1.5,0.1,0.2,28,1.22064801374093,1.51161536488177,1.00876267996136,1.13428992531014,0.00369933333333333,9.30870245637435e-06,0.004082,1.48375551850617e-05,0.00340666666666667,1.15764810492386e-05,1000,1395.01846379443,"259","1277.129"
"11",0.005,1000,1.5,0.1,0.4,28,1.20572440968736,1.46661127332708,0.827519690929736,0.766091154464224,0.00371566666666667,9.62336234300322e-06,0.00413033333333333,1.54138178281649e-05,0.00284833333333333,8.09402856507725e-06,100,642.456457561774,"568","2854.01066666667"
"12",0.005,1000,1.5,0.1,0.4,28,1.20572440968736,1.46661127332708,0.827519690929736,0.766091154464224,0.00371566666666667,9.62336234300322e-06,0.00413033333333333,1.54138178281649e-05,0.00284833333333333,8.09402856507725e-06,1000,376.386423356863,"72","361.776"
"13",0.005,1000,2,0.7,0.2,28,1.9823835337917,2.10756845369402,1.60184188599285,1.51998107165361,0.0100933333333333,7.72216961209292e-05,0.0164003333333333,0.000147545915193954,0.0134633333333333,0.000106550172279649,100,258.315062431377,"470","760.616666666667"
"14",0.005,1000,2,0.7,0.2,28,1.9823835337917,2.10756845369402,1.60184188599285,1.51998107165361,0.0100933333333333,7.72216961209292e-05,0.0164003333333333,0.000147545915193954,0.0134633333333333,0.000106550172279649,1000,88.8879470060028,"103","166.688333333333"
"15",0.005,1000,2,0.7,0.4,28,1.93147925911059,2.20417654759822,1.22514932732004,0.871734998832391,0.0101016666666667,7.77725880849172e-05,0.016214,0.000151113241747249,0.0108006666666667,7.75114367011226e-05,100,65.7155523501371,"123","197.538"
"16",0.005,1000,2,0.7,0.4,28,1.93147925911059,2.20417654759822,1.22514932732004,0.871734998832391,0.0101016666666667,7.77725880849172e-05,0.016214,0.000151113241747249,0.0108006666666667,7.75114367011226e-05,1000,22.3844493811367,"25","40.15"
"17",0.005,1000,2,0.4,0.2,28,1.78245474777709,2.05854609539516,1.44522650130144,1.3033555892334,0.008503,5.53744491497166e-05,0.0125983333333333,9.283794320329e-05,0.0104476666666667,6.85387741469379e-05,100,391.051708485095,"642","1300.05"
"18",0.005,1000,2,0.4,0.2,28,1.78245474777709,2.05854609539516,1.44522650130144,1.3033555892334,0.008503,5.53744491497166e-05,0.0125983333333333,9.283794320329e-05,0.0104476666666667,6.85387741469379e-05,1000,159.735562401333,"136","275.4"
"19",0.005,1000,2,0.4,0.4,28,1.78227464065586,1.9831814144003,1.1535741285509,0.879354628501801,0.00826,5.35975991997332e-05,0.012305,9.16658636212071e-05,0.00828533333333333,4.74077207958208e-05,100,104.471617351773,"169","336.479"
"20",0.005,1000,2,0.4,0.4,28,1.78227464065586,1.9831814144003,1.1535741285509,0.879354628501801,0.00826,5.35975991997332e-05,0.012305,9.16658636212071e-05,0.00828533333333333,4.74077207958208e-05,1000,42.0751243777095,"31","61.721"
"21",0.005,1000,2,0.1,0.2,28,1.54596235494079,1.7020535309171,1.27733665545469,1.29572930691194,0.00615,2.51538846282094e-05,0.00790866666666667,3.48352699788818e-05,0.006619,2.67020730243414e-05,100,1249.53170316784,">=1000",">=1000"
"22",0.005,1000,2,0.1,0.2,28,1.54596235494079,1.7020535309171,1.27733665545469,1.29572930691194,0.00615,2.51538846282094e-05,0.00790866666666667,3.48352699788818e-05,0.006619,2.67020730243414e-05,1000,810.915885688293,"174","637.594"
"23",0.005,1000,2,0.1,0.4,28,1.58756093873634,2.1214148003972,1.03621455059372,1.00356408596324,0.00608533333333333,2.54005183950206e-05,0.007815,3.49904384794932e-05,0.00534133333333333,1.93906217628098e-05,100,273.371148535501,"267","958.085"
"24",0.005,1000,2,0.1,0.4,28,1.58756093873634,2.1214148003972,1.03621455059372,1.00356408596324,0.00608533333333333,2.54005183950206e-05,0.007815,3.49904384794932e-05,0.00534133333333333,1.93906217628098e-05,1000,175.486255559335,"39","139.945"
"25",0.02,100,1.5,0.7,0.2,28,1.04350654150917,1.24918169043077,0.91958373872716,1.02382733303098,0.0309333333333333,0.000502629765477381,0.02671,0.000557061587195732,0.0234133333333333,0.000445364276981216,10,3848.516805206,">=1000",">=1000"
"26",0.02,100,1.5,0.7,0.2,28,1.04350654150917,1.24918169043077,0.91958373872716,1.02382733303098,0.0309333333333333,0.000502629765477381,0.02671,0.000557061587195732,0.0234133333333333,0.000445364276981216,50,1395.26560106112,">=1000",">=1000"
"27",0.02,100,1.5,0.7,0.2,28,1.04350654150917,1.24918169043077,0.91958373872716,1.02382733303098,0.0309333333333333,0.000502629765477381,0.02671,0.000557061587195732,0.0234133333333333,0.000445364276981216,100,1088.60931537041,"689","3475.316"
"28",0.02,100,1.5,0.7,0.4,28,1.05771993023317,1.23733823892775,0.768862876230523,0.750613164945844,0.0308733333333333,0.000483865243970212,0.02659,0.000525980560186729,0.0199133333333333,0.000374650705790819,10,658.506827213333,">=1000",">=1000"
"29",0.02,100,1.5,0.7,0.4,28,1.05771993023317,1.23733823892775,0.768862876230523,0.750613164945844,0.0308733333333333,0.000483865243970212,0.02659,0.000525980560186729,0.0199133333333333,0.000374650705790819,50,236.550251045544,"275","1404.24166666667"
"30",0.02,100,1.5,0.7,0.4,28,1.05771993023317,1.23733823892775,0.768862876230523,0.750613164945844,0.0308733333333333,0.000483865243970212,0.02659,0.000525980560186729,0.0199133333333333,0.000374650705790819,100,183.806376908388,"123","628.079"
"31",0.02,100,1.5,0.4,0.2,28,0.979655218855219,1.04679586021898,0.862221115921116,0.878417733888926,0.0297366666666667,0.000432708224963877,0.02402,0.000443320706902301,0.0211733333333333,0.000375548471712793,10,4479.9782722947,">=1000",">=1000"
"32",0.02,100,1.5,0.4,0.2,28,0.979655218855219,1.04679586021898,0.862221115921116,0.878417733888926,0.0297366666666667,0.000432708224963877,0.02402,0.000443320706902301,0.0211733333333333,0.000375548471712793,50,1830.73758516971,">=1000",">=1000"
"33",0.02,100,1.5,0.4,0.2,28,0.979655218855219,1.04679586021898,0.862221115921116,0.878417733888926,0.0297366666666667,0.000432708224963877,0.02402,0.000443320706902301,0.0211733333333333,0.000375548471712793,100,1499.58256290316,"592","3728.81066666667"
"34",0.02,100,1.5,0.4,0.4,28,1.02779631849632,1.20332684533086,0.705437451437451,0.679138262958368,0.0291433333333333,0.000423240535734134,0.02434,0.000455849683227743,0.0175333333333333,0.000298148271646104,10,569.494387992629,">=1000",">=1000"
"35",0.02,100,1.5,0.4,0.4,28,1.02779631849632,1.20332684533086,0.705437451437451,0.679138262958368,0.0291433333333333,0.000423240535734134,0.02434,0.000455849683227743,0.0175333333333333,0.000298148271646104,50,231.169873379624,"244","1523.45466666667"
"36",0.02,100,1.5,0.4,0.4,28,1.02779631849632,1.20332684533086,0.705437451437451,0.679138262958368,0.0291433333333333,0.000423240535734134,0.02434,0.000455849683227743,0.0175333333333333,0.000298148271646104,100,188.8798257169,"105","655.585"
"37",0.02,100,1.5,0.1,0.2,28,0.785673402523403,0.963751306757982,0.668784991859992,0.733292534810607,0.0241,0.000257875958652884,0.0157766666666667,0.000268819728798488,0.01342,0.000211574124708236,10,6002.61180717179,">=1000",">=1000"
"38",0.02,100,1.5,0.1,0.2,28,0.785673402523403,0.963751306757982,0.668784991859992,0.733292534810607,0.0241,0.000257875958652884,0.0157766666666667,0.000268819728798488,0.01342,0.000211574124708236,50,3508.70726229889,">=1000",">=1000"
"39",0.02,100,1.5,0.1,0.2,28,0.785673402523403,0.963751306757982,0.668784991859992,0.733292534810607,0.0241,0.000257875958652884,0.0157766666666667,0.000268819728798488,0.01342,0.000211574124708236,100,3196.96920448393,"642","7195.75"
"40",0.02,100,1.5,0.1,0.4,28,0.762595361120361,0.850881205157371,0.553779997779998,0.555706737942179,0.02423,0.000272564621540514,0.0153833333333333,0.000256471879515394,0.0113433333333333,0.000167617994887185,10,1644.80818752785,">=1000",">=1000"
"41",0.02,100,1.5,0.1,0.4,28,0.762595361120361,0.850881205157371,0.553779997779998,0.555706737942179,0.02423,0.000272564621540514,0.0153833333333333,0.000256471879515394,0.0113433333333333,0.000167617994887185,50,935.865138615348,"494","5794.78466666667"
