"","E_It","N","R0","k","inter_day","effect","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","sufficient_ncluster","adjusted_sufficient_ncluster"
"31",0.005,10000,1.5,0.4,69,0.4,1.38403671193611,1.1077193976843,0.411240924324153,0.139385362464929,0.00502573333333333,7.32323220629099e-06,0.00522083333333333,4.38741844503724e-06,0.00166286666666667,7.28690679115261e-07,100,"80","82.8"
"32",0.005,10000,1.5,0.4,69,0.4,1.38403671193611,1.1077193976843,0.411240924324153,0.139385362464929,0.00502573333333333,7.32323220629099e-06,0.00522083333333333,4.38741844503724e-06,0.00166286666666667,7.28690679115261e-07,1000,"10","10.35"
"33",0.005,10000,2,0.7,24,0.2,5.3358150377183,5.20078399458708,2.95259694524384,1.38115663414593,0.00512626666666667,5.74018345670779e-06,0.0232109,2.87545627109036e-05,0.0133421333333333,1.6527227191286e-05,100,"41","41"
"34",0.005,10000,2,0.7,24,0.2,5.3358150377183,5.20078399458708,2.95259694524384,1.38115663414593,0.00512626666666667,5.74018345670779e-06,0.0232109,2.87545627109036e-05,0.0133421333333333,1.6527227191286e-05,1000,"13","13"
"35",0.005,10000,2,0.7,24,0.4,5.21190965690341,4.34383180664599,1.3608655974107,0.253828899529543,0.0052005,5.48672532510837e-06,0.0233037,2.74368886062021e-05,0.0065034,5.89830787595865e-06,100,"11","11"
"36",0.005,10000,2,0.7,24,0.4,5.21190965690341,4.34383180664599,1.3608655974107,0.253828899529543,0.0052005,5.48672532510837e-06,0.0233037,2.74368886062021e-05,0.0065034,5.89830787595865e-06,1000,"4","4"
"37",0.005,10000,2,0.4,30,0.2,4.05035209172042,7.28614893157136,2.32808761880705,1.90171150733557,0.00521696666666667,8.54885174947205e-06,0.015842,1.58928269423141e-05,0.00962746666666667,9.51276316994554e-06,100,"72","72.192"
"38",0.005,10000,2,0.4,30,0.2,4.05035209172042,7.28614893157136,2.32808761880705,1.90171150733557,0.00521696666666667,8.54885174947205e-06,0.015842,1.58928269423141e-05,0.00962746666666667,9.51276316994554e-06,1000,"21","21.056"
"39",0.005,10000,2,0.4,30,0.4,4.09772130246409,7.01751724500459,1.14142735838602,0.485541981128747,0.00515963333333333,8.25087082249639e-06,0.0158954,1.6250362294098e-05,0.00490423333333333,3.84238620762476e-06,100,"19","19.019"
"40",0.005,10000,2,0.4,30,0.4,4.09772130246409,7.01751724500459,1.14142735838602,0.485541981128747,0.00515963333333333,8.25087082249639e-06,0.0158954,1.6250362294098e-05,0.00490423333333333,3.84238620762476e-06,1000,"6","6.006"
"41",0.0045,10000,2,0.1,57,0.2,1.50283782229668,6.70396651086347,0.901601220230466,2.11886108067759,0.00454716666666667,5.23649080248972e-06,0.00356576666666667,2.7324755707458e-06,0.00231923333333333,1.29238420695787e-06,100,"626","732.628666666667"
"42",0.0045,10000,2,0.1,57,0.2,1.50283782229668,6.70396651086347,0.901601220230466,2.11886108067759,0.00454716666666667,5.23649080248972e-06,0.00356576666666667,2.7324755707458e-06,0.00231923333333333,1.29238420695787e-06,1000,"103","120.544333333333"
"43",0.0045,10000,2,0.1,57,0.4,1.5279624428216,6.03743095233751,0.45289829793386,0.3647339197385,0.00452643333333333,5.2289009125264e-06,0.00361826666666667,2.79963954206958e-06,0.00131623333333333,5.04848094920529e-07,100,"162","190.512"
"44",0.0045,10000,2,0.1,57,0.4,1.5279624428216,6.03743095233751,0.45289829793386,0.3647339197385,0.00452643333333333,5.2289009125264e-06,0.00361826666666667,2.79963954206958e-06,0.00131623333333333,5.04848094920529e-07,1000,"22","25.872"
"45",0.02,100,1.5,0.7,10,0.2,0.96357328042328,2.68800930411835,0.616612169312169,1.43737948245171,0.017,0.000133244414804935,0.0142966666666667,0.000439985317327998,0.00932666666666667,0.00024569518728465,10,">=1000",">=1000"
"46",0.02,100,1.5,0.7,10,0.2,0.96357328042328,2.68800930411835,0.616612169312169,1.43737948245171,0.017,0.000133244414804935,0.0142966666666667,0.000439985317327998,0.00932666666666667,0.00024569518728465,50,"384","1345.536"
"47",0.02,100,1.5,0.7,10,0.2,0.96357328042328,2.68800930411835,0.616612169312169,1.43737948245171,0.017,0.000133244414804935,0.0142966666666667,0.000439985317327998,0.00932666666666667,0.00024569518728465,100,"207","725.328"
"48",0.02,100,1.5,0.7,10,0.4,0.984236507936508,2.64053642279601,0.351969047619048,0.679259421910478,0.0167766666666667,0.000127619328665111,0.0146233333333333,0.000425133166611093,0.00553333333333333,0.000128558408358342,10,"408","1411.68"
"49",0.02,100,1.5,0.7,10,0.4,0.984236507936508,2.64053642279601,0.351969047619048,0.679259421910478,0.0167766666666667,0.000127619328665111,0.0146233333333333,0.000425133166611093,0.00553333333333333,0.000128558408358342,50,"92","318.32"
"50",0.02,100,1.5,0.7,10,0.4,0.984236507936508,2.64053642279601,0.351969047619048,0.679259421910478,0.0167766666666667,0.000127619328665111,0.0146233333333333,0.000425133166611093,0.00553333333333333,0.000128558408358342,100,"41","141.86"
"51",0.02,100,1.5,0.4,11,0.2,0.75204246031746,1.82185900686624,0.507017857142857,1.12801294305443,0.0172866666666667,0.000137483650105591,0.0114333333333333,0.000305447371346004,0.00794333333333333,0.000206939101922863,10,">=1000",">=1000"
"52",0.02,100,1.5,0.4,11,0.2,0.75204246031746,1.82185900686624,0.507017857142857,1.12801294305443,0.0172866666666667,0.000137483650105591,0.0114333333333333,0.000305447371346004,0.00794333333333333,0.000206939101922863,50,"572","2307.06666666667"
"53",0.02,100,1.5,0.4,11,0.2,0.75204246031746,1.82185900686624,0.507017857142857,1.12801294305443,0.0172866666666667,0.000137483650105591,0.0114333333333333,0.000305447371346004,0.00794333333333333,0.000206939101922863,100,"255","1028.5"
"54",0.02,100,1.5,0.4,11,0.4,0.756335846560847,1.94066681973691,0.28136746031746,0.504654118856995,0.0173466666666667,0.000143140869178615,0.0116333333333333,0.000336911192619762,0.00465,0.000103445315105035,10,"626","2564.51333333333"
"55",0.02,100,1.5,0.4,11,0.4,0.756335846560847,1.94066681973691,0.28136746031746,0.504654118856995,0.0173466666666667,0.000143140869178615,0.0116333333333333,0.000336911192619762,0.00465,0.000103445315105035,50,"136","557.146666666667"
