"","E_It","N","R0","k","effect","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","lower_bound","sufficient_ncluster","adjusted_sufficient_ncluster"
"41",0.0045,10000,2,0.1,0.2,1.28416839214577,0.611640683880005,1.05234911378681,0.242979261127337,44.0416666666667,528.484091919529,47.378,407.899082360787,40.385,312.612979326442,100,869.962913254126,">=1000",">=1000"
"42",0.0045,10000,2,0.1,0.2,1.28416839214577,0.611640683880005,1.05234911378681,0.242979261127337,44.0416666666667,528.484091919529,47.378,407.899082360787,40.385,312.612979326442,1000,177.123368656735,"121","141.812"
"43",0.0045,10000,2,0.1,0.4,1.29652375232165,0.519148699542724,0.890324550141028,0.202021332884848,43.9273333333333,553.892683783483,47.9506666666667,437.573424030232,34.189,248.392076358786,100,265.482789546473,"251","289.654"
"44",0.0045,10000,2,0.1,0.4,1.29652375232165,0.519148699542724,0.890324550141028,0.202021332884848,43.9273333333333,553.892683783483,47.9506666666667,437.573424030232,34.189,248.392076358786,1000,53.6806425922523,"27","31.158"
"45",0.02,100,1.5,0.7,0.2,1.13317433862434,1.8671224488115,0.910330158730159,1.32277822592666,1.77933333333333,1.50514126931199,1.959,4.98231310436812,1.60566666666667,3.79676681115928,10,2187.43952620392,">=1000",">=1000"
"46",0.02,100,1.5,0.7,0.2,1.13317433862434,1.8671224488115,0.910330158730159,1.32277822592666,1.77933333333333,1.50514126931199,1.959,4.98231310436812,1.60566666666667,3.79676681115928,50,797.96856738793,"314","1151.438"
"47",0.02,100,1.5,0.7,0.2,1.13317433862434,1.8671224488115,0.910330158730159,1.32277822592666,1.77933333333333,1.50514126931199,1.959,4.98231310436812,1.60566666666667,3.79676681115928,100,624.284895318877,"158","579.386"
"48",0.02,100,1.5,0.7,0.4,1.05962843915344,1.74388280390724,0.718555026455026,1.03833058242028,1.55133333333333,0.958351005890853,1.65033333333333,4.07809258641769,1.12766666666667,2.47352573079916,10,924.539317976522,"533","1742.91"
"49",0.02,100,1.5,0.7,0.4,1.05962843915344,1.74388280390724,0.718555026455026,1.03833058242028,1.55133333333333,0.958351005890853,1.65033333333333,4.07809258641769,1.12766666666667,2.47352573079916,50,329.032087873116,"111","362.97"
"50",0.02,100,1.5,0.7,0.4,1.05962843915344,1.74388280390724,0.718555026455026,1.03833058242028,1.55133333333333,0.958351005890853,1.65033333333333,4.07809258641769,1.12766666666667,2.47352573079916,100,254.594196895075,"57","186.39"
"51",0.02,100,1.5,0.4,0.2,0.935175396825397,1.66980844204241,0.78026746031746,1.2720170305137,1.53466666666667,0.928441035900856,1.49066666666667,3.92522129598755,1.24533333333333,3.05749738801823,10,4648.9883199451,">=1000",">=1000"
"52",0.02,100,1.5,0.4,0.2,0.935175396825397,1.66980844204241,0.78026746031746,1.2720170305137,1.53466666666667,0.928441035900856,1.49066666666667,3.92522129598755,1.24533333333333,3.05749738801823,50,1855.37301373659,"470","1722.39333333333"
"53",0.02,100,1.5,0.4,0.2,0.935175396825397,1.66980844204241,0.78026746031746,1.2720170305137,1.53466666666667,0.928441035900856,1.49066666666667,3.92522129598755,1.24533333333333,3.05749738801823,100,1506.17116743586,"251","919.831333333333"
"54",0.02,100,1.5,0.4,0.4,0.948700529100529,1.63754521462195,0.645928439153439,0.81089322530957,1.63833333333333,1.19993053239969,1.60966666666667,4.45279081916194,1.10033333333333,2.20300088918528,10,1052.95248428392,"559","2146.56"
"55",0.02,100,1.5,0.4,0.4,0.948700529100529,1.63754521462195,0.645928439153439,0.81089322530957,1.63833333333333,1.19993053239969,1.60966666666667,4.45279081916194,1.10033333333333,2.20300088918528,50,415.722207404998,"115","441.6"
"56",0.02,100,1.5,0.4,0.4,0.948700529100529,1.63754521462195,0.645928439153439,0.81089322530957,1.63833333333333,1.19993053239969,1.60966666666667,4.45279081916194,1.10033333333333,2.20300088918528,100,336.068731557839,"59","226.56"
"57",0.02,100,1.5,0.1,0.2,0.534337301587302,1.10945433737109,0.452314682539683,0.791239704478055,1.29433333333333,0.503869178615094,0.816,2.36893364454818,0.678666666666667,1.58794086917861,10,13613.2017653837,">=1000",">=1000"
"58",0.02,100,1.5,0.1,0.2,0.534337301587302,1.10945433737109,0.452314682539683,0.791239704478055,1.29433333333333,0.503869178615094,0.816,2.36893364454818,0.678666666666667,1.58794086917861,50,6968.93202598952,"783","3000.978"
"59",0.02,100,1.5,0.1,0.2,0.534337301587302,1.10945433737109,0.452314682539683,0.791239704478055,1.29433333333333,0.503869178615094,0.816,2.36893364454818,0.678666666666667,1.58794086917861,100,6138.39831636817,"455","1743.86333333333"
"60",0.02,100,1.5,0.1,0.4,0.648131613756614,1.16083542921713,0.445671031746032,0.629397596091124,1.53233333333333,1.15067144603757,1.089,2.81735145048349,0.766666666666667,1.64943870178949,10,2174.78172408737,"830","4622.27"
"61",0.02,100,1.5,0.1,0.4,0.648131613756614,1.16083542921713,0.445671031746032,0.629397596091124,1.53233333333333,1.15067144603757,1.089,2.81735145048349,0.766666666666667,1.64943870178949,50,1163.5856387951,"182","1013.558"
"62",0.02,100,1.5,0.1,0.4,0.648131613756614,1.16083542921713,0.445671031746032,0.629397596091124,1.53233333333333,1.15067144603757,1.089,2.81735145048349,0.766666666666667,1.64943870178949,100,1037.18617159423,"99","551.331"
"63",0.02,100,2,0.7,0.2,1.51372574555075,2.98074246131459,1.25463316498317,2.30086380247551,1.70966666666667,1.32848271646104,2.559,7.8864811603868,2.13866666666667,6.22284583750139,10,2359.3110741071,">=1000",">=1000"
"64",0.02,100,2,0.7,0.2,1.51372574555075,2.98074246131459,1.25463316498317,2.30086380247551,1.70966666666667,1.32848271646104,2.559,7.8864811603868,2.13866666666667,6.22284583750139,50,926.224032099994,"349","968.126"
"65",0.02,100,2,0.7,0.2,1.51372574555075,2.98074246131459,1.25463316498317,2.30086380247551,1.70966666666667,1.32848271646104,2.559,7.8864811603868,2.13866666666667,6.22284583750139,100,747.088292237159,"173","479.902"
"66",0.02,100,2,0.7,0.4,1.52742843915344,3.01698964490849,0.954764417989418,1.41815942557402,1.708,1.23981593864622,2.595,8.16102867622541,1.63733333333333,3.91977948204957,10,430.791799648581,"283","802.305"
