"","E_It","N","R0","k","effect","inter_day","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","lower_bound","sufficient_ncluster","adjusted_sufficient_ncluster"
"1",0.005,1000,1.5,0.7,0.2,27,1.9599957769478,4.97545141413784,1.20440510260475,2.00747339431989,4.945,19.12635045015,7.99,55.5930976992331,5.25166666666667,28.078356674447,100,117.747325852674,"244","507.438666666667"
"2",0.005,1000,1.5,0.7,0.2,27,1.9599957769478,4.97545141413784,1.20440510260475,2.00747339431989,4.945,19.12635045015,7.99,55.5930976992331,5.25166666666667,28.078356674447,1000,39.5065373455416,"59","122.700333333333"
"3",0.005,1000,1.5,0.7,0.4,26,1.94827803179464,4.53083118308081,0.768768169033246,1.07591870265402,4.77933333333333,18.6855347338002,7.82666666666667,54.1046571079249,3.24,12.7779926642214,100,43.317489840376,"72","147.216"
"4",0.005,1000,1.5,0.7,0.4,26,1.94827803179464,4.53083118308081,0.768768169033246,1.07591870265402,4.77933333333333,18.6855347338002,7.82666666666667,54.1046571079249,3.24,12.7779926642214,1000,14.8076904892794,"16","32.7146666666667"
"5",0.005,1000,1.5,0.4,0.2,28,1.65679642495903,4.17311196020762,1.11998600109745,1.97945778536001,4.70866666666667,17.7517087918195,6.44266666666667,36.9670352339669,4.479,21.0599123041014,100,233.672028356609,"392","1033.83466666667"
"6",0.005,1000,1.5,0.4,0.2,28,1.65679642495903,4.17311196020762,1.11998600109745,1.97945778536001,4.70866666666667,17.7517087918195,6.44266666666667,36.9670352339669,4.479,21.0599123041014,1000,90.7615359960909,"94","247.909333333333"
"7",0.005,1000,1.5,0.4,0.4,28,1.59119932134308,3.50172679306888,0.70933545488922,1.00755545662987,4.722,17.8179886628876,6.29266666666667,36.0276887851506,2.88166666666667,10.3651189285317,100,70.7742270816211,"112","302.288"
"8",0.005,1000,1.5,0.4,0.4,28,1.59119932134308,3.50172679306888,0.70933545488922,1.00755545662987,4.722,17.8179886628876,6.29266666666667,36.0276887851506,2.88166666666667,10.3651189285317,1000,27.0051476273438,"23","62.077"
"9",0.005,1000,1.5,0.1,0.2,36,1.15657342353153,2.3584858401138,0.802221970248621,1.1905167340499,4.32366666666667,11.8902032899856,3.838,13.1681453817939,2.758,7.70200333444482,100,594.529293120463,"861","4827.627"
"10",0.005,1000,1.5,0.1,0.2,36,1.15657342353153,2.3584858401138,0.802221970248621,1.1905167340499,4.32366666666667,11.8902032899856,3.838,13.1681453817939,2.758,7.70200333444482,1000,343.607668399503,"126","706.482"
