96,2,1,1,96,0,0,4,96,0,0,4,96,0,0,4,96,0,0,4,96,0,0,4,96,0,0,4,
96,1,2,1,89,3,0,8,89,0,2,9,86,1,0,13,95,0,1,4,95,0,1,4,95,0,0,5,
97,1,1,1,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,
98,1,1,0,98,0,0,2,98,0,0,2,98,0,0,2,87,6,3,4,83,0,2,15,81,1,2,16,
97,1,1,1,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,97,0,0,3,
95,0,1,4,94,0,1,5,91,0,2,7,91,0,0,9,95,0,0,5,95,0,0,5,95,0,0,5,
93,4,1,2,87,2,3,8,80,3,4,13,79,1,1,19,89,3,3,5,87,0,1,12,87,0,0,13,
94,1,2,3,91,3,2,4,89,1,0,10,89,0,0,11,90,2,3,5,88,0,1,11,85,1,3,11,
97,0,2,1,95,0,1,4,93,1,1,5,91,2,1,6,94,1,1,4,90,1,1,8,87,1,1,11,
96,2,1,1,95,0,0,5,95,0,0,5,95,0,0,5,96,0,0,4,96,0,0,4,96,0,0,4,
96,2,1,1,93,1,1,5,89,1,2,8,86,0,1,13,88,2,4,6,80,2,3,15,80,0,1,19,
98,0,2,0,95,0,0,5,95,0,0,5,95,0,0,5,97,0,0,3,97,0,0,3,97,0,0,3,
99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,
99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,
95,2,1,2,94,1,1,4,92,1,1,6,89,2,1,8,87,2,3,8,84,0,3,13,78,2,3,17,
99,0,1,0,97,1,1,1,91,4,3,2,77,8,6,9,99,0,0,1,99,0,0,1,99,0,0,1,
89,4,3,4,72,11,5,12,59,11,6,24,51,8,6,35,74,6,4,16,67,4,3,26,65,1,1,33,
99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,
94,2,3,1,93,0,1,6,91,0,1,8,91,0,1,8,86,2,1,11,85,1,1,13,85,0,1,14,
96,1,1,2,92,2,1,5,91,0,1,8,91,0,0,9,94,0,1,5,92,1,1,6,92,1,0,7,
95,2,1,2,90,2,2,6,82,4,4,10,76,5,0,19,90,4,3,3,87,2,1,10,84,0,0,16,
98,0,1,1,98,0,0,2,98,0,0,2,98,0,0,2,97,0,0,3,97,0,0,3,97,0,0,3,
98,0,1,1,95,2,1,2,95,0,0,5,95,0,0,5,98,0,0,2,98,0,0,2,98,0,0,2,
98,1,1,0,95,1,1,3,83,8,2,7,77,4,5,14,97,2,1,0,92,2,3,3,89,2,2,7,
90,3,3,4,87,0,2,11,87,0,0,13,87,0,0,13,87,2,3,8,83,2,2,13,83,1,0,16,
92,2,3,3,85,4,4,7,79,2,2,17,74,3,1,22,88,2,2,8,88,1,1,10,87,1,1,11,
95,0,2,3,95,0,0,5,95,0,0,5,95,0,0,5,95,0,0,5,95,0,0,5,95,0,0,5,
91,3,1,5,91,1,1,7,86,1,2,11,86,0,0,14,88,3,1,8,83,1,3,13,83,0,2,15,
99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,95,1,0,4,95,0,0,5,95,0,0,5,
99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,
94,0,4,2,87,5,3,5,81,3,2,14,78,1,3,18,89,2,2,7,88,0,1,11,86,2,1,11,
93,4,2,1,90,3,1,6,87,1,4,8,78,0,7,15,83,3,4,10,79,1,3,17,73,1,4,22,
94,1,2,3,94,0,0,6,94,0,0,6,94,0,0,6,92,1,2,5,91,0,0,9,91,0,0,9,
92,3,1,4,86,2,2,10,85,0,1,14,85,0,0,15,83,6,4,7,76,8,2,14,62,9,5,24,
94,2,2,2,90,2,1,7,86,0,2,12,86,0,0,14,90,2,2,6,81,4,2,13,76,3,3,18,
92,4,2,2,81,4,5,10,73,3,4,20,68,3,4,25,90,2,2,6,88,0,2,10,85,2,1,12,
95,2,1,2,91,3,0,6,87,4,2,7,83,3,1,13,90,5,1,4,81,7,6,6,80,1,3,16,
95,0,1,4,95,0,0,5,95,0,0,5,95,0,0,5,94,1,0,5,94,0,1,5,94,0,0,6,
92,3,5,0,86,2,1,11,82,3,2,13,82,1,1,16,77,5,6,12,73,3,3,21,68,3,3,26,
99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,
99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,
99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,
99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,
94,2,2,2,93,0,1,6,93,0,0,7,93,0,0,7,93,0,1,6,93,0,0,7,93,0,0,7,
93,5,2,0,86,3,2,9,78,5,3,14,74,2,3,21,86,3,3,8,83,1,1,15,83,0,0,17,
98,0,1,1,95,2,0,3,91,2,3,4,80,2,8,10,96,0,1,3,96,0,1,3,94,1,1,4,
94,1,4,1,93,0,0,7,93,0,0,7,93,0,0,7,90,1,2,7,79,4,5,12,75,4,2,19,
93,1,1,5,93,0,0,7,93,0,0,7,93,0,0,7,93,0,1,6,93,0,0,7,93,0,0,7,
99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,
91,5,2,2,83,4,3,10,82,1,2,15,79,1,1,19,83,2,2,13,83,0,0,17,83,0,0,17,
97,0,2,1,82,8,3,7,66,7,6,21,61,5,2,32,89,2,2,7,86,1,1,12,82,1,1,16,
98,0,1,1,95,1,1,3,90,1,3,6,86,4,1,9,95,2,1,2,93,2,0,5,93,0,0,7,
98,0,1,1,98,0,0,2,98,0,0,2,98,0,0,2,97,0,0,3,97,0,0,3,97,0,0,3,
98,0,1,1,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,
98,1,1,0,95,0,1,4,95,0,0,5,95,0,0,5,98,0,1,1,98,0,1,1,95,1,1,3,
98,0,1,1,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,
94,3,2,1,87,3,1,9,87,0,0,13,87,0,0,13,89,2,3,6,84,2,4,10,82,2,0,16,
99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,
96,1,1,2,94,2,1,3,82,7,3,8,79,0,6,15,91,3,2,4,84,2,5,9,79,2,2,17,
97,1,1,1,93,3,3,1,92,1,1,6,91,0,1,8,97,0,1,2,97,0,0,3,97,0,0,3,
94,1,2,3,91,2,1,6,87,0,4,9,76,3,7,14,91,1,2,6,78,5,5,12,72,0,4,24,
98,0,1,1,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,98,0,0,2,
90,4,2,4,85,2,2,11,84,1,1,14,84,0,0,16,90,0,0,10,90,0,0,10,90,0,0,10,
96,1,2,1,95,0,1,4,87,7,1,5,83,4,0,13,83,7,4,6,75,4,6,15,68,4,4,24,
92,2,4,2,83,1,4,12,81,2,1,16,80,0,1,19,78,6,5,11,75,1,3,21,72,1,1,26,
94,1,2,3,92,1,0,7,92,0,0,8,92,0,0,8,91,2,2,5,89,2,2,7,86,0,5,9,
99,0,1,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,
98,0,1,1,87,5,3,5,81,3,3,13,76,1,2,21,86,6,6,2,72,8,2,18,69,3,5,23,
93,2,4,1,75,12,2,11,60,7,7,26,54,3,6,37,77,7,6,10,65,3,3,29,59,3,3,35,
98,1,1,0,98,0,0,2,98,0,0,2,98,0,0,2,97,0,0,3,97,0,0,3,97,0,0,3,
95,3,1,1,89,3,3,5,84,1,4,11,81,1,1,17,95,0,0,5,95,0,0,5,95,0,0,5,
97,1,2,0,96,1,0,3,96,1,0,3,96,1,0,3,96,0,0,4,96,0,0,4,96,0,0,4,
96,2,1,1,94,0,3,3,94,0,0,6,94,0,0,6,90,1,2,7,90,0,1,9,90,0,0,10,
87,5,3,5,78,5,4,13,73,2,4,21,67,1,2,30,71,6,8,15,62,3,4,31,55,2,2,41,
97,1,1,1,93,2,0,5,90,2,2,6,89,1,1,9,97,0,0,3,97,0,0,3,97,0,0,3,
