90,2,2,6,86,2,1,11,84,1,1,14,84,0,0,16,88,0,0,12,88,0,0,12,88,0,0,12,
88,3,2,7,80,4,3,13,78,1,1,20,78,0,1,21,82,4,2,12,81,0,4,15,79,2,1,18,
84,4,1,11,83,1,2,14,77,2,4,17,74,2,1,23,75,6,2,17,71,3,1,25,71,0,0,29,
87,4,2,7,73,7,4,16,67,4,7,22,63,2,2,33,87,1,1,11,83,4,2,11,81,2,1,16,
84,4,2,10,82,2,2,14,78,2,2,18,72,1,3,24,83,1,2,14,82,0,0,18,82,0,0,18,
82,3,2,13,80,0,0,20,80,0,0,20,80,0,0,20,82,0,1,17,81,0,1,18,80,1,1,18,
69,5,3,23,65,5,1,29,63,2,1,34,63,0,1,36,63,2,4,31,59,2,4,35,57,0,3,40,
67,6,6,21,67,0,1,32,67,0,0,33,67,0,0,33,65,1,2,32,65,0,0,35,65,0,0,35,
69,5,7,19,63,4,1,32,61,0,3,36,61,0,1,38,68,1,4,27,68,0,0,32,68,0,0,32,
90,1,1,8,90,0,0,10,90,0,0,10,90,0,0,10,88,1,1,10,87,0,0,13,87,0,0,13,
88,3,3,6,85,2,2,11,83,1,1,15,82,0,2,16,87,0,1,12,86,0,0,14,86,0,0,14,
73,6,2,19,71,1,3,25,66,1,3,30,64,1,1,34,68,3,3,26,67,0,1,32,65,1,2,32,
90,2,1,7,90,0,1,9,86,4,0,10,86,0,1,13,88,1,3,8,80,3,3,14,74,3,3,20,
78,6,3,13,78,2,1,19,77,0,1,22,77,0,0,23,71,6,4,19,68,3,1,28,66,1,1,32,
78,7,5,10,71,6,3,20,69,1,3,27,67,2,1,30,71,2,5,22,66,0,3,31,63,1,3,33,
72,3,8,17,66,2,2,30,64,0,2,34,64,0,0,36,69,2,0,29,68,0,0,32,68,0,0,32,
87,5,2,6,83,5,3,9,75,2,3,20,75,0,1,24,86,0,0,14,86,0,0,14,86,0,0,14,
71,7,8,14,67,1,5,27,63,0,3,34,63,0,0,37,66,4,2,28,64,2,1,33,61,1,3,35,
84,3,2,11,81,0,2,17,81,0,0,19,81,0,0,19,81,1,2,16,81,0,1,18,81,0,0,19,
84,3,4,9,78,4,1,17,77,0,0,23,77,0,0,23,75,5,2,18,71,0,3,26,67,0,2,31,
93,1,2,4,92,1,0,7,89,1,3,7,82,3,1,14,90,2,0,8,89,1,1,9,88,1,1,10,
89,0,1,10,89,0,0,11,89,0,0,11,89,0,0,11,89,0,0,11,89,0,0,11,89,0,0,11,
76,7,4,13,69,5,4,22,63,5,5,27,62,1,2,35,66,5,7,22,63,1,1,35,63,1,0,36,
74,1,6,19,70,1,1,28,69,1,1,29,69,0,0,31,69,3,3,25,65,2,3,30,63,1,3,33,
65,6,7,22,65,0,1,34,65,0,0,35,65,0,0,35,63,1,1,35,63,0,1,36,63,0,0,37,
93,0,1,6,93,0,0,7,93,0,0,7,93,0,0,7,92,0,1,7,92,0,0,8,92,0,0,8,
73,7,2,18,73,2,1,24,73,0,0,27,73,0,0,27,66,2,3,29,64,0,5,31,61,1,1,37,
97,0,2,1,87,5,2,6,75,5,4,16,69,3,3,25,97,0,0,3,97,0,0,3,97,0,0,3,
78,6,4,12,63,7,7,23,60,1,2,37,58,0,0,42,72,2,3,23,72,0,0,28,72,0,0,28,
75,6,8,11,71,2,1,26,70,1,1,28,69,0,1,30,72,1,4,23,68,1,5,26,68,0,2,30,
90,1,4,5,87,3,1,9,82,4,2,12,79,4,1,16,84,2,1,13,78,1,3,18,77,1,0,22,
91,3,3,3,77,5,3,15,74,4,4,18,67,1,4,28,86,5,1,8,81,3,2,14,79,1,2,18,
96,1,1,2,91,3,2,4,83,3,3,11,79,3,3,15,87,2,4,7,83,1,3,13,80,0,1,19,
90,3,1,6,86,1,4,9,79,1,5,15,72,3,5,20,83,2,3,12,81,0,3,16,81,0,0,19,
74,6,4,16,72,1,0,27,72,0,0,28,72,0,0,28,69,3,3,25,67,0,1,32,67,0,0,33,
